IDS_PROPITEM_TXT_000000	一般
IDS_PROPITEM_TXT_000001	
IDS_PROPITEM_TXT_000002	空手
IDS_PROPITEM_TXT_000003	
IDS_PROPITEM_TXT_000004	金币
IDS_PROPITEM_TXT_000005	
IDS_PROPITEM_TXT_000006	金币
IDS_PROPITEM_TXT_000007	
IDS_PROPITEM_TXT_000008	金币
IDS_PROPITEM_TXT_000009	
IDS_PROPITEM_TXT_000010	金币
IDS_PROPITEM_TXT_000011	
IDS_PROPITEM_TXT_000012	悬赏金袋子
IDS_PROPITEM_TXT_000013	
IDS_PROPITEM_TXT_000014	见习生木剑
IDS_PROPITEM_TXT_000015	
IDS_PROPITEM_TXT_000016	木剑
IDS_PROPITEM_TXT_000017	
IDS_PROPITEM_TXT_000018	罗马剑
IDS_PROPITEM_TXT_000019	
IDS_PROPITEM_TXT_000020	长剑
IDS_PROPITEM_TXT_000021	
IDS_PROPITEM_TXT_000022	手刃剑
IDS_PROPITEM_TXT_000023	
IDS_PROPITEM_TXT_000024	手刃细剑
IDS_PROPITEM_TXT_000025	
IDS_PROPITEM_TXT_000026	利普长剑
IDS_PROPITEM_TXT_000027	
IDS_PROPITEM_TXT_000028	破灭长剑
IDS_PROPITEM_TXT_000029	
IDS_PROPITEM_TXT_000030	佩诺长剑
IDS_PROPITEM_TXT_000031	
IDS_PROPITEM_TXT_000032	柯林斯长剑
IDS_PROPITEM_TXT_000033	
IDS_PROPITEM_TXT_000034	花公子长剑
IDS_PROPITEM_TXT_000035	
IDS_PROPITEM_TXT_000036	贝塔长剑
IDS_PROPITEM_TXT_000037	
IDS_PROPITEM_TXT_000038	十字星长剑
IDS_PROPITEM_TXT_000039	
IDS_PROPITEM_TXT_000040	布尔克长剑
IDS_PROPITEM_TXT_000041	
IDS_PROPITEM_TXT_000042	索罗岗长剑
IDS_PROPITEM_TXT_000043	
IDS_PROPITEM_TXT_000044	奥西顿长剑
IDS_PROPITEM_TXT_000045	
IDS_PROPITEM_TXT_000046	佩尔光剑
IDS_PROPITEM_TXT_000047	
IDS_PROPITEM_TXT_000048	佩尔细剑
IDS_PROPITEM_TXT_000049	
IDS_PROPITEM_TXT_000050	淘特长剑
IDS_PROPITEM_TXT_000051	
IDS_PROPITEM_TXT_000052	凯立长剑
IDS_PROPITEM_TXT_000053	
IDS_PROPITEM_TXT_000054	奥柏长剑
IDS_PROPITEM_TXT_000055	
IDS_PROPITEM_TXT_000056	塔欧长剑
IDS_PROPITEM_TXT_000057	
IDS_PROPITEM_TXT_000058	紫莹长剑
IDS_PROPITEM_TXT_000059	
IDS_PROPITEM_TXT_000060	赛波长剑
IDS_PROPITEM_TXT_000061	
IDS_PROPITEM_TXT_000062	汉希尔长剑
IDS_PROPITEM_TXT_000063	
IDS_PROPITEM_TXT_000064	斯鲁德长剑
IDS_PROPITEM_TXT_000065	
IDS_PROPITEM_TXT_000066	卡米特长剑
IDS_PROPITEM_TXT_000067	
IDS_PROPITEM_TXT_000068	因贝德长剑
IDS_PROPITEM_TXT_000069	
IDS_PROPITEM_TXT_000070	普立可长剑
IDS_PROPITEM_TXT_000071	
IDS_PROPITEM_TXT_000072	史替奇长剑
IDS_PROPITEM_TXT_000073	
IDS_PROPITEM_TXT_000074	逤普之剑
IDS_PROPITEM_TXT_000075	
IDS_PROPITEM_TXT_000076	魔替之剑
IDS_PROPITEM_TXT_000077	
IDS_PROPITEM_TXT_000078	大马士剑
IDS_PROPITEM_TXT_000079	
IDS_PROPITEM_TXT_000080	庞克伶剑
IDS_PROPITEM_TXT_000081	
IDS_PROPITEM_TXT_000082	赛比长剑
IDS_PROPITEM_TXT_000083	
IDS_PROPITEM_TXT_000084	尼萨长剑
IDS_PROPITEM_TXT_000085	
IDS_PROPITEM_TXT_000086	奈可长剑
IDS_PROPITEM_TXT_000087	
IDS_PROPITEM_TXT_000088	左诺特长剑
IDS_PROPITEM_TXT_000089	
IDS_PROPITEM_TXT_000090	蓝光之剑
IDS_PROPITEM_TXT_000091	
IDS_PROPITEM_TXT_000092	蓝影之剑
IDS_PROPITEM_TXT_000093	
IDS_PROPITEM_TXT_000094	莎因长剑
IDS_PROPITEM_TXT_000095	
IDS_PROPITEM_TXT_000096	洁洛斯长剑
IDS_PROPITEM_TXT_000097	
IDS_PROPITEM_TXT_000098	碧德长剑
IDS_PROPITEM_TXT_000099	
IDS_PROPITEM_TXT_000100	艾魔翎长剑
IDS_PROPITEM_TXT_000101	
IDS_PROPITEM_TXT_000102	卡特长剑
IDS_PROPITEM_TXT_000103	
IDS_PROPITEM_TXT_000104	银狼环长剑
