IDS_PROPITEM_TXT_000000	Default
IDS_PROPITEM_TXT_000001	
IDS_PROPITEM_TXT_000002	Hand
IDS_PROPITEM_TXT_000003	
IDS_PROPITEM_TXT_000004	Penya
IDS_PROPITEM_TXT_000005	
IDS_PROPITEM_TXT_000006	Penya
IDS_PROPITEM_TXT_000007	
IDS_PROPITEM_TXT_000008	Penya
IDS_PROPITEM_TXT_000009	
IDS_PROPITEM_TXT_000010	Penya
IDS_PROPITEM_TXT_000011	
IDS_PROPITEM_TXT_000012	P.K Belohnung
IDS_PROPITEM_TXT_000013	
IDS_PROPITEM_TXT_000014	(Practice)Wooden Sword
IDS_PROPITEM_TXT_000015	
IDS_PROPITEM_TXT_000016	Wooden Sword
IDS_PROPITEM_TXT_000017	
IDS_PROPITEM_TXT_000018	Normal Sword
IDS_PROPITEM_TXT_000019	
IDS_PROPITEM_TXT_000020	Long Sword
IDS_PROPITEM_TXT_000021	
IDS_PROPITEM_TXT_000022	Hand Saw
IDS_PROPITEM_TXT_000023	
IDS_PROPITEM_TXT_000024	Hand Claw
IDS_PROPITEM_TXT_000025	
IDS_PROPITEM_TXT_000026	Leaf Sword
IDS_PROPITEM_TXT_000027	
IDS_PROPITEM_TXT_000028	Parmil Sword
IDS_PROPITEM_TXT_000029	
IDS_PROPITEM_TXT_000030	Penel Sword
IDS_PROPITEM_TXT_000031	
IDS_PROPITEM_TXT_000032	Crimson Sword
IDS_PROPITEM_TXT_000033	
IDS_PROPITEM_TXT_000034	Flower Sword
IDS_PROPITEM_TXT_000035	
IDS_PROPITEM_TXT_000036	Petal Sword
IDS_PROPITEM_TXT_000037	
IDS_PROPITEM_TXT_000038	Star Sword
IDS_PROPITEM_TXT_000039	
IDS_PROPITEM_TXT_000040	Blink Sword
IDS_PROPITEM_TXT_000041	
IDS_PROPITEM_TXT_000042	Slogger Sword
IDS_PROPITEM_TXT_000043	
IDS_PROPITEM_TXT_000044	Outlaw Sword
IDS_PROPITEM_TXT_000045	
IDS_PROPITEM_TXT_000046	Fairlight Sword
IDS_PROPITEM_TXT_000047	
IDS_PROPITEM_TXT_000048	Fairslender Sword
IDS_PROPITEM_TXT_000049	
IDS_PROPITEM_TXT_000050	Turtle Sword
IDS_PROPITEM_TXT_000051	
IDS_PROPITEM_TXT_000052	Clip Sword
IDS_PROPITEM_TXT_000053	
IDS_PROPITEM_TXT_000054	Oval Sword
IDS_PROPITEM_TXT_000055	
IDS_PROPITEM_TXT_000056	Tao Sword
IDS_PROPITEM_TXT_000057	
IDS_PROPITEM_TXT_000058	Jaim Sword
IDS_PROPITEM_TXT_000059	
IDS_PROPITEM_TXT_000060	Sepal Sword
IDS_PROPITEM_TXT_000061	
IDS_PROPITEM_TXT_000062	Hansel Sword
IDS_PROPITEM_TXT_000063	
IDS_PROPITEM_TXT_000064	Cylos Sword
IDS_PROPITEM_TXT_000065	
IDS_PROPITEM_TXT_000066	Comet Sword
IDS_PROPITEM_TXT_000067	
IDS_PROPITEM_TXT_000068	Invader Sword
IDS_PROPITEM_TXT_000069	
IDS_PROPITEM_TXT_000070	Pricker Sword
IDS_PROPITEM_TXT_000071	
IDS_PROPITEM_TXT_000072	Stitch Sword
IDS_PROPITEM_TXT_000073	
IDS_PROPITEM_TXT_000074	Subblade Sword
IDS_PROPITEM_TXT_000075	
IDS_PROPITEM_TXT_000076	Multiblade Sword
IDS_PROPITEM_TXT_000077	
IDS_PROPITEM_TXT_000078	Bigmas Sword
IDS_PROPITEM_TXT_000079	
IDS_PROPITEM_TXT_000080	Panggril Sword
IDS_PROPITEM_TXT_000081	
IDS_PROPITEM_TXT_000082	Savage Sword
IDS_PROPITEM_TXT_000083	
IDS_PROPITEM_TXT_000084	Carnage Sword
IDS_PROPITEM_TXT_000085	
IDS_PROPITEM_TXT_000086	Knocker Sword
IDS_PROPITEM_TXT_000087	
IDS_PROPITEM_TXT_000088	Janitor Sword
IDS_PROPITEM_TXT_000089	
IDS_PROPITEM_TXT_000090	Blue Shine Sword
IDS_PROPITEM_TXT_000091	
IDS_PROPITEM_TXT_000092	Blue Shine Sword
IDS_PROPITEM_TXT_000093	
IDS_PROPITEM_TXT_000094	Shyer Sword
IDS_PROPITEM_TXT_000095	
IDS_PROPITEM_TXT_000096	Zeroth Sword
IDS_PROPITEM_TXT_000097	
IDS_PROPITEM_TXT_000098	Rowbenon Sword
IDS_PROPITEM_TXT_000099	
IDS_PROPITEM_TXT_000100	Emeryl Sword
IDS_PROPITEM_TXT_000101	
IDS_PROPITEM_TXT_000102	Khaicator Sword
IDS_PROPITEM_TXT_000103	
IDS_PROPITEM_TXT_000104	Chainsing Sword
IDS_PROPITEM_TXT_000105	
IDS_PROPITEM_TXT_000106	Axilow Sword
IDS_PROPITEM_TXT_000107	
IDS_PROPITEM_TXT_000108	Harpion Sword
IDS_PROPITEM_TXT_000109	
IDS_PROPITEM_TXT_000110	Breakest Sword
IDS_PROPITEM_TXT_000111	
